article_id,group_name,mention_instances,sentence_mentions,active_voice_mentions,passive_voice_mentions,quote_count,quoted_mentions,dehumanizing_count,criminalizing_count,collectivizing_count,erasure_of_civilian_status_count,incitement_displacement_count,incitement_destruction_count,discrediting_journalists_count,censorship_repression_count,victimizing_count,humanizing_count,active_voice_rate,passive_voice_rate,quoted_context_rate,dehumanization_score
2023_10_07_antworten-auf-die-wichtigsten-fragen-zum-krieg,israelis,20,20,15,1,2,1,0,1,0,0,0,0,0,0,0,1,0.75,0.05,0.05,1.0
2023_10_07_antworten-auf-die-wichtigsten-fragen-zum-krieg,palestinians,7,6,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0.5714,0.0,0.1429,0.0
2023_10_07_biden-die-usa-stehen-an-der-seite-israels,general_journalists,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
2023_10_07_biden-die-usa-stehen-an-der-seite-israels,israelis,37,36,23,0,42,14,0,0,0,0,0,0,0,0,0,3,0.6216,0.0,0.3784,-3.0
2023_10_07_biden-die-usa-stehen-an-der-seite-israels,palestinians,5,5,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.2,0.0
2023_10_07_chronologie-eines-schier-endlosen-konflikts,israelis,81,72,51,5,4,6,0,0,4,0,0,0,0,0,0,4,0.6296,0.0617,0.0741,6.5
2023_10_07_chronologie-eines-schier-endlosen-konflikts,palestinians,35,33,17,3,2,4,0,0,10,0,1,0,0,0,0,2,0.4857,0.0857,0.1143,22.0
2023_10_07_ein-angriff-brutal-und-perfide,israelis,10,9,6,0,2,1,0,0,0,0,0,1,0,0,1,0,0.6,0.0,0.1,3.0
2023_10_07_ein-angriff-brutal-und-perfide,palestinians,3,3,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6667,0.0,0.0,3.0
2023_10_07_ein-angriff-der-an-ein-altes-trauma-r-hrt,israelis,16,16,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0.6875,0.0625,0.0625,0.5
2023_10_07_ein-angriff-der-an-ein-altes-trauma-r-hrt,palestinians,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_07_eine-neue-eskalation-der-gewalt,israelis,11,11,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0.3636,0.0909,0.0909,0.5
2023_10_07_eine-neue-eskalation-der-gewalt,palestinians,7,7,7,0,2,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.1429,0.0
2023_10_07_mindestens-300-tote-in-israel-nach-attacken-aus-gaza,israelis,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.0
2023_10_07_mindestens-300-tote-in-israel-nach-attacken-aus-gaza,palestinians,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0
2023_10_07_stadt-im-schatten,israelis,7,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5714,0.0,0.0,0.0
2023_10_07_stadt-im-schatten,palestinians,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
2023_10_08_der-meister-der-m-rtyrer,israelis,13,12,7,1,0,1,0,0,0,0,0,0,0,0,0,2,0.5385,0.0769,0.0769,-1.5
2023_10_08_der-meister-der-m-rtyrer,palestinians,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.0
2023_10_08_die-ann-herung-mit-dem-k-nigreich-wird-gestoppt,general_journalists,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
2023_10_08_die-ann-herung-mit-dem-k-nigreich-wird-gestoppt,israelis,17,16,13,1,5,2,0,0,1,0,0,0,0,0,0,0,0.7647,0.0588,0.1176,2.5
2023_10_08_die-ann-herung-mit-dem-k-nigreich-wird-gestoppt,palestinians,7,6,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0.5714,0.0,0.1429,4.0
2023_10_08_israel-erlebt-einen-9-11-moment-wie-konnte-es-dazu-kommen,israelis,25,22,20,3,6,3,0,0,0,0,0,0,0,0,0,0,0.8,0.12,0.12,1.5
2023_10_08_israel-erlebt-einen-9-11-moment-wie-konnte-es-dazu-kommen,palestinians,10,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.0,1.0
